display_name,is_system_created,service_type,service_entries,id,path
AD Server,True,['service_type'],"[{'l4_protocol': 'TCP', 'source_ports': [], 'destination_ports': ['1024'], 'resource_type': 'L4PortSetServiceEntry', 'id': 'AD_Server', 'display_name': 'AD Server'}]",['id'],/infra/services/AD_Server
Active Directory Server,True,['service_type'],"[{'l4_protocol': 'TCP', 'source_ports': [], 'destination_ports': ['464'], 'resource_type': 'L4PortSetServiceEntry', 'id': 'Active_Directory_Server', 'display_name': 'Active Directory Server'}]",['id'],/infra/services/Active_Directory_Server
Active Directory Server UDP,True,['service_type'],"[{'l4_protocol': 'UDP', 'source_ports': [], 'destination_ports': ['464'], 'resource_type': 'L4PortSetServiceEntry', 'id': 'Active_Directory_Server_UDP', 'display_name': 'Active Directory Server UDP'}]",['id'],/infra/services/Active_Directory_Server_UDP
CIM-HTTP,True,['service_type'],"[{'l4_protocol': 'TCP', 'source_ports': [], 'destination_ports': ['5988'], 'resource_type': 'L4PortSetServiceEntry', 'id': 'CIM-HTTP', 'display_name': 'CIM-HTTP'}]",['id'],/infra/services/CIM-HTTP
CIM-HTTPS,True,['service_type'],"[{'l4_protocol': 'TCP', 'source_ports': [], 'destination_ports': ['5989'], 'resource_type': 'L4PortSetServiceEntry', 'id': 'CIM-HTTPS', 'display_name': 'CIM-HTTPS'}]",['id'],/infra/services/CIM-HTTPS
Custom-1234,False,['service_type'],"[{'l4_protocol': 'UDP', 'source_ports': [], 'destination_ports': ['1234'], 'resource_type': 'L4PortSetServiceEntry', 'id': '1234-UDP', 'display_name': '1234-UDP'}, {'l4_protocol': 'TCP', 'source_ports': [], 'destination_ports': ['1234', '8080'], 'resource_type': 'L4PortSetServiceEntry', 'id': '1234-TCP', 'display_name': '1234-TCP'}]",['id'],/infra/services/Custom-1234
Custom-1235,False,['service_type'],"[{'l4_protocol': 'TCP', 'source_ports': [], 'destination_ports': ['1235'], 'resource_type': 'L4PortSetServiceEntry', 'id': '1235-TCP', 'display_name': '1235-TCP'}, {'l4_protocol': 'UDP', 'source_ports': [], 'destination_ports': ['1235'], 'resource_type': 'L4PortSetServiceEntry', 'id': '1235-UDP', 'display_name': '1235-UDP'}]",['id'],/infra/services/Custom-1235
DCM Java Object Cache port,True,['service_type'],"[{'l4_protocol': 'TCP', 'source_ports': [], 'destination_ports': ['7100'], 'resource_type': 'L4PortSetServiceEntry', 'id': 'DCM_Java_Object_Cache_port', 'display_name': 'DCM Java Object Cache port'}]",['id'],/infra/services/DCM_Java_Object_Cache_port
"DHCP, MADCAP",True,['service_type'],"[{'l4_protocol': 'UDP', 'source_ports': [], 'destination_ports': ['2535'], 'resource_type': 'L4PortSetServiceEntry', 'id': 'DHCP,_MADCAP', 'display_name': 'DHCP, MADCAP'}]",['id'],"/infra/services/DHCP,_MADCAP"
DHCP-Client,True,['service_type'],"[{'l4_protocol': 'UDP', 'source_ports': [], 'destination_ports': ['68'], 'resource_type': 'L4PortSetServiceEntry', 'id': 'DHCP-Client', 'display_name': 'DHCP-Client'}]",['id'],/infra/services/DHCP-Client
