display_name,host_name,os_name,power_state,on_esxi,id,tag
192.168.65.7-cloned,,,STOPPED,10.105.140.142,503b3fe8-3b01-e00f-deeb-57f08838e8e6,
Avi-se-fnile,Avi-se-fnile,Ubuntu Linux (64-bit),RUNNING,10.105.131.144,50384d17-9414-3d87-239f-fa8abf88512e,
CentOS7.7-Template-New-D5pH,vdc01-testvm01,CentOS 7 (64-bit),STOPPED,10.105.131.142,5038e072-76a2-8ef9-f4e8-b61aaf3bbc0a,
DVWA,DVWA,Ubuntu Linux (64-bit),STOPPED,10.105.131.143,50386305-7251-7088-50fa-3b6530938f0e,
DVWA-cloned,,,STOPPED,10.105.140.142,50386b79-26bf-f806-0cf1-01b37dc0caab,
Template-TKG2.1.1-TanzuCLI-Ubuntu20046,,,STOPPED,10.105.140.142,503b3f76-0e93-e151-837e-5741ce798c35,
VMware-SHD-4.0.2(140.145),,,STOPPED,10.105.131.144,503b98d9-6c1d-5ae6-178b-6cc88c337e4f,
Web_Server,,,STOPPED,10.105.131.141,50383997-4184-4c3d-46b9-c1816ef0f3aa,
drsShellVm-d44542ca-e8e5-33f2-9ea9-3ea362294b32,,,STOPPED,10.105.131.143,503800f7-2eae-bc6c-6e8a-5a340bd92aa5,
lab1avi(131.165),10-105-131-165,Ubuntu Linux (64-bit),RUNNING,10.105.131.143,50381257-84ff-407b-46a2-be65e51beec2,
lab1vc(131.130),labvc.vcf.lab,VMware Photon OS (64-bit),RUNNING,10.105.131.141,52a10c07-1a25-1b2e-49ad-f77a136d8996,
labbackup(131.239)±¸·Ý,labbackup,CentOS 7 (64-bit),STOPPED,10.105.131.142,503893e2-cea6-74eb-f905-21adab5af386,
labharbor284(131.178),labhabor240.vcf.lab,CentOS 7 (64-bit),STOPPED,10.105.131.143,50382684-700f-0fbc-93b9-26a86dae42ff,
labhcx-cloud(131.167),labhcx-cloud,VMware Photon OS (64-bit),STOPPED,10.105.131.142,5038e167-9a14-9ded-9a71-0cf34e434f60,
labnsx(131.152),labnsx,Ubuntu Linux (64-bit),RUNNING,10.105.131.141,50387164-a516-b0b3-0b45-8b60c35d049a,
labnsx-edgenode01,edgenode01,Ubuntu Linux (64-bit),RUNNING,10.105.131.142,5038545a-04fc-3ef3-2950-92380271e1d3,"[{'scope': '', 'tag': 'Edge_NSGroup'}]"
labsrm(131.161),labsrm.vcf.lab,VMware Photon OS (64-bit),STOPPED,10.105.131.142,5038c127-d7a1-7c53-7364-69663467b189,
labvcd(140.150),portal.vcdlab.local,VMware Photon OS (64-bit),RUNNING,10.105.131.144,50383732-f97c-957c-30e6-ffebf2586242,
labvr(131.161),labvr.vcf.lab,VMware Photon OS (64-bit),STOPPED,10.105.131.144,5038efad-7d16-0512-dbb2-cfbb6b0b5778,
vCLS-3f35e694-8f63-46a0-8797-dfe0a51ba68b,None,VMware Photon OS (64-bit),RUNNING,10.105.131.143,50381b3c-015a-8939-c1b3-cdac19eb9962,
vCLS-4112a2ff-c847-4175-ad32-8cad73367a36,None,VMware Photon OS (64-bit),RUNNING,10.105.131.141,50387fc1-b769-5d88-bada-076ba79f5231,
vCLS-458da922-8bba-4ffd-bb2d-95c9e485827d,None,VMware Photon OS (64-bit),RUNNING,10.105.140.143,503ba65e-bf04-04c7-bdfd-bd0f3384d3a4,
vCLS-7dff35ce-d873-49ea-bf79-075acf8dda4b,None,VMware Photon OS (64-bit),RUNNING,10.105.131.142,5038a3c2-6530-f263-6bd7-5ec34df48598,
vCLS-9f25e658-5d67-4a69-99d6-a0af592f3b88,None,VMware Photon OS (64-bit),RUNNING,10.105.140.144,503bf645-b178-ef00-37ac-d62de72bcf21,
vCLS-c5c1b792-c369-4f1c-9d0f-54097d3688a1,None,VMware Photon OS (64-bit),RUNNING,10.105.140.142,503bea4c-ba75-6efe-da8b-37bf83ca578e,
win11-temp,DESKTOP-33DQC76,Microsoft Windows 10 (64-bit),STOPPED,10.105.131.143,503814f0-c884-c285-7fd0-e82de8ddc4ca,
